Order_ID,Product,Quantity,Unit_Price,Order_Time,Status,Priority,Category,Rating
ORD001,Laptop Stand,2,1499.5,2026-07-05 10:30:00,Delivered,True,Electronics,4.5
ORD002,Wireless Mouse,3,799.0,2026-07-05 11:15:00,Delivered,False,Electronics,4.0
ORD003,Office Chair,,6500.0,2026-07-06 09:00:00,Shipped,True,Furniture,4.2
ORD004,Notebook Pack,5,350.0,2026-07-06 14:45:00,Pending,False,Stationery,
ORD005,USB Hub,2,1250.0,,Delivered,True,Electronics,4.7
ORD006,Desk Lamp,,1800.0,2026-07-07 16:20:00,Cancelled,False,Furniture,3.9
ORD007,Pen Set,10,250.0,2026-07-08 12:00:00,Delivered,False,Stationery,4.1
ORD008,Bookshelf,1,8750.0,2026-07-08 17:10:00,Shipped,True,Furniture,4.6
ORD009,Webcam,,3200.0,2026-07-09 10:05:00,Delivered,True,Electronics,4.8
ORD010,Marker Pack,6,300.0,2026-07-09 13:25:00,Pending,False,Stationery,4.0
ORD011,Router,2,2600.0,2026-07-10 09:40:00,Delivered,True,Electronics,4.3
ORD012,Storage Cabinet,1,9500.0,2026-07-10 18:00:00,Shipped,False,Furniture,4.5
