,Unnamed: 0,age,gender,review,education,purush
0,0,24,Female,Poor,School,0
1,1,37,Male,Poor,PG,1
2,2,32,Female,Poor,PG,1
3,3,28,Male,Poor,UG,0
4,4,25,Female,Good,UG,1
5,5,38,Male,Poor,School,1
6,6,24,Female,Poor,PG,1
7,7,36,Male,Poor,PG,0
8,8,40,Male,Good,PG,0
9,9,28,Female,Poor,School,0
10,10,28,Male,Poor,School,1
11,11,38,Female,Good,UG,1
12,12,21,Female,Good,School,0
13,13,25,Female,Good,PG,0
14,14,20,Female,Poor,PG,0
15,15,39,Female,Good,School,0
16,16,38,Female,Good,PG,1
17,17,19,Female,Poor,PG,0
18,18,29,Female,Good,School,1
19,19,23,Female,Poor,School,0
20,20,19,Female,Average,PG,1
21,21,38,Female,Good,PG,0
22,22,18,Male,Average,PG,0
23,23,29,Male,Poor,UG,0
24,24,39,Female,Good,UG,0
25,25,29,Female,Poor,UG,1
26,26,34,Female,Average,School,0
27,27,27,Female,Poor,UG,1
28,28,33,Female,Good,School,1
29,29,32,Female,Good,School,1
30,30,32,Female,Average,UG,1
31,31,36,Female,Poor,UG,0
32,32,29,Male,Good,UG,1
33,33,40,Female,Average,PG,1
34,34,37,Male,Good,UG,1
35,35,20,Female,Good,PG,0
36,36,22,Female,Poor,School,0
37,37,36,Male,Good,PG,0
38,38,24,Female,Poor,UG,0
39,39,38,Male,Good,School,1
40,40,26,Female,Average,School,1
41,41,24,Female,Good,School,0
42,42,35,Male,Poor,PG,1
43,43,21,Female,Poor,UG,1
44,44,31,Male,Average,School,1
45,45,35,Female,Good,School,0
46,46,26,Male,Good,School,0
47,47,38,Male,Average,PG,1
48,48,19,Female,Good,PG,0
49,49,37,Female,Good,UG,0
