,age,gender,review,education,purush
0,24,Female,Poor,School,No
1,37,Male,Poor,PG,Yes
2,32,Female,Poor,PG,Yes
3,28,Male,Poor,UG,No
4,25,Female,Good,UG,Yes
5,38,Male,Poor,School,Yes
6,24,Female,Poor,PG,Yes
7,36,Male,Poor,PG,No
8,40,Male,Good,PG,No
9,28,Female,Poor,School,No
10,28,Male,Poor,School,Yes
11,38,Female,Good,UG,Yes
12,21,Female,Good,School,No
13,25,Female,Good,PG,No
14,20,Female,Poor,PG,No
15,39,Female,Good,School,No
16,38,Female,Good,PG,Yes
17,19,Female,Poor,PG,No
18,29,Female,Good,School,Yes
19,23,Female,Poor,School,No
20,19,Female,Average,PG,Yes
21,38,Female,Good,PG,No
22,18,Male,Average,PG,No
23,29,Male,Poor,UG,No
24,39,Female,Good,UG,No
25,29,Female,Poor,UG,Yes
26,34,Female,Average,School,No
27,27,Female,Poor,UG,Yes
28,33,Female,Good,School,Yes
29,32,Female,Good,School,Yes
30,32,Female,Average,UG,Yes
31,36,Female,Poor,UG,No
32,29,Male,Good,UG,Yes
33,40,Female,Average,PG,Yes
34,37,Male,Good,UG,Yes
35,20,Female,Good,PG,No
36,22,Female,Poor,School,No
37,36,Male,Good,PG,No
38,24,Female,Poor,UG,No
39,38,Male,Good,School,Yes
40,26,Female,Average,School,Yes
41,24,Female,Good,School,No
42,35,Male,Poor,PG,Yes
43,21,Female,Poor,UG,Yes
44,31,Male,Average,School,Yes
45,35,Female,Good,School,No
46,26,Male,Good,School,No
47,38,Male,Average,PG,Yes
48,19,Female,Good,PG,No
49,37,Female,Good,UG,No
